CHEMBL1076584	000000000000000000000000000000000010000100000010010010001011101000000100111101011110010110110010011010111100111011110000100010111111001100100011011011011110100100011111
CHEMBL1076636	000000000000000000000000000000010000000100000010010010001011101000000100111101011110010110110010011010111100111011110000100010111010001100100011011011011110100100011111
CHEMBL1076884	000000000000010000000000000000000000000000000000000000000000000000000000010001000111000000001000010010100110010010110000100000110010000110100011001011010010101100011111
CHEMBL1079628	000000000000000000000000100000000010000100000010010011001011111000000100111101011100010110110010011000011100111011010000000010111111001000100001011010011110100000011111
CHEMBL1080156	000000000000000000000000000000000010000100000010010010001011101000000100111101011110010110110010011010111100111011110000100010111111001100100011011011011110100100011111
CHEMBL1080157	000000000000000000000000000000000010000100000010010010001011101000000100111101011110010110110010011010111100111011110000100010111111001100100011011011011110100100011111
CHEMBL1080545	000000000000000000000000000000010000000100000010010010001011101000000100111101011110010110110010011010111100111011110000100010111010001100100011011011011110100100011111
CHEMBL1080908	000000000000000000000000000000010000000100000010010010001011101000000100111101011110010110110010011010111100111011110000100010111010001100100011011011011110100100011111
CHEMBL1080916	000000000000000000000000000000010000000100000010010010001011101000000100111101011110010110110010011010111100111011110000100010111010001100100011011011011110100100011111
CHEMBL1080917	000000000000000000000000000000010000000100000010010010001011101000000100111101011110010110110010011010111100111011110000100010111010001100100011011011011110100100011111
CHEMBL1081213	000000000000000000000000000000010000000100000010010010001011101000000100111101011110010110110010011010111100111011110000100010111010001100100011011011011110100100011111
CHEMBL1081285	000000000000000000000000000000010000000100000000010010001011101000000100111101011110010110110010011010111100111011110000100010111010001100100011011011011110100100011111
CHEMBL1081286	000000000000000000000000100000000010000100000000010011001011111000000100111101011100010110110010011000011100111011010000000010111111001000100001011010011110100000011111
CHEMBL1081304	000000000000000000000000100000000010000100000000010011001011111000000100111101011100010110110010011000011100111011010000000010111111001010100001011010011110100000011111
CHEMBL1081305	000000000000000000000000100000000010000100000000010011001011111000000100111101011100010110110010011000011100111011010000000010111111001010100001011010011110100000011111
