Cn1c2c(c(=O)n(c1=O)C)n1c(n2)N(C[C@@H](C1)O)c1ccc(cc1)O	ZINC00351119
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NC1CCCCC1)C[C@@H](CO)O	ZINC00352329
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NC1CCCCC1)C[C@H](CO)O	ZINC00352330
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)N1CCCCC1)C[C@@H](CO)O	ZINC00352334
Cn1c2c(c(=O)n(c1=O)C)n(c(n2)N1CCCCC1)C[C@H](CO)O	ZINC00352337
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CCOCC1)CC(=O)N	ZINC00369868
Cn1c(c(cn1)Cl)C(=O)Nc1ccc(cc1)C[NH+]1CCCCC1	ZINC00374888
c1ccc2c(c1)c(c(o2)C(=O)N)NC(=O)C[NH+]1CCCCC1	ZINC00380743
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CC[NH2+]CC1)CCO	ZINC00390141
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CCCCC1)CCC(O)O	ZINC00390142
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCc1ccccc1)C[C@@H](CO)O	ZINC00390400
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCc1ccccc1)C[C@H](CO)O	ZINC00390401
Cn1c2c(c(=O)[nH]c1=O)n1c(n2)N(CC1)c1ccc(cc1)OC	ZINC00393299
Cn1c(=O)c(c2n(c1=O)CCN2)[C@H]1c2ccccc2C(=O)O1	ZINC00398967
Cn1c(=O)c(c2n(c1=O)CCN2)[C@@H]1c2ccccc2C(=O)O1	ZINC00398968
Cn1c2c(c(=O)[nH]c1=O)[nH]c(n2)NCCc1ccc(c(c1)OC)OC	ZINC00407682
CN(CC1OCCO1)c1c2c(c3cc(ccc3[nH]2)OC)ncn1	ZINC00485640
CC[NH+](CC)CCn1c(=O)c2c(ncn2C[C@@H](CO)O)n(c1=O)C	ZINC00485703
CC[NH+](CC)CCn1c(=O)c2c(ncn2C[C@H](CO)O)n(c1=O)C	ZINC00485704
COc1cc2c(cc1OC)[nH]c1c2ncnc1N1CCOCC1	ZINC00486970
COc1cc2c(cc1OC)[nH]c1c2ncnc1N1CCCCC1	ZINC00486976
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCc1ccccc1)CCC(=O)[O-]	ZINC00492926
CC1CCN(CC1)C(=O)COc1ccccc1OC	ZINC00510901
CN(CC1OCCO1)c1c2c(c3ccc(cc3[nH]2)OC)ncn1	ZINC00523701
CCNc1nc2c(n1CCOc1ccccc1)c(=O)[nH]c(=O)n2C	ZINC00533748
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)Nc1ccccc1)CCO	ZINC00534236
COc1cc2c(cc1OC)nc(nc2N1CCCC1)c1ccccc1	ZINC00535384
C[C@@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1N1CCCCC1)C)O	ZINC00536472
C[C@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1N1CCCCC1)C)O	ZINC00536473
Cc1ccc(cc1)Nc1nc2c(n1CCO)c(=O)[nH]c(=O)n2C	ZINC00537305
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N)CCOc1ccccc1	ZINC00537517
CNc1nc2c(n1CCO)c(=O)[nH]c(=O)n2C	ZINC00537816
Cc1ccc(cc1)CNc1nc2c(n1CCO)c(=O)[nH]c(=O)n2C	ZINC00538090
COc1cc2c(cc1OC)[nH]c1c2ncnc1N1CCCC1	ZINC00539058
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N(C)Cc1ccccc1)CCO	ZINC00539313
Cc1cccc(c1)Nc1nc2c(n1CCO)c(=O)[nH]c(=O)n2C	ZINC00539853
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCCc1ccccc1)CCO	ZINC00539938
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CCCC1)CCO	ZINC00540765
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCc1ccco1)CCO	ZINC00541399
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NCc1ccccc1)CCO	ZINC00541477
CCNc1nc2c(n1CCO)c(=O)[nH]c(=O)n2C	ZINC00542846
CNc1nc2c(n1CCOc1ccccc1)c(=O)[nH]c(=O)n2C	ZINC00543553
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)NC1CCCCC1)CCO	ZINC00544369
Cn1c2c(=O)[nH]c(=O)n(c2nc1NCc1ccco1)C	ZINC00544946
Cc1cccc(c1)Cn1c2c(=O)[nH]c(=O)n(c2nc1N(C)CCO)C	ZINC00551542
c1ccc(cc1)CNc1c2c(ncn1)n(cn2)[C@@H]1[C@H]([C@H]([C@@H](O1)CO)O)O	ZINC00580569
COc1cc2c(cc1OC)[nH+]c(nc2N)N1CCN(CC1)C(=O)[C@@H]1CCCO1	ZINC00598034
COc1cc2c(cc1OC)[nH+]c(nc2N)N1CCN(CC1)C(=O)c1ccco1	ZINC00601304
Cn1c2c(nc1NCc1ccc(c(c1)OC)OC)n(c(=O)n(c2=O)C)C	ZINC00607407
Cc1cc(ccc1NC(=O)Cn1cnc2c1n(c(=O)n(c2=O)C)C)O	ZINC00609885
Cc1ccc(c(c1)O)NC(=O)Cn1cnc2c1n(c(=O)n(c2=O)C)C	ZINC00610751
Cn1c2c(c(=O)n(c1=O)C)ncn2CC(=O)Nc1ccc(cc1)O	ZINC00612219
Cn1c2c(c(=O)n(c1=O)C)ncn2CC(=O)Nc1cccc(c1)O	ZINC00618874
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CC[NH+](CC1)C)CCCc1ccccc1	ZINC00622466
Cc1ccccc1OC[C@@H](Cn1c2c(nc1N1CCCCC1)n(c(=O)n(c2=O)C)C)O	ZINC00625643
Cc1ccccc1OC[C@H](Cn1c2c(nc1N1CCCCC1)n(c(=O)n(c2=O)C)C)O	ZINC00625647
CCN(CC)c1nc2c(n1C[C@@H](COc1ccccc1C)O)c(=O)n(c(=O)n2C)C	ZINC00625682
CCN(CC)c1nc2c(n1C[C@H](COc1ccccc1C)O)c(=O)n(c(=O)n2C)C	ZINC00625686
Cc1ccccc1OC[C@@H](Cn1c2c(nc1N1CCCCCC1)n(c(=O)n(c2=O)C)C)O	ZINC00625689
Cc1ccccc1OC[C@H](Cn1c2c(nc1N1CCCCCC1)n(c(=O)n(c2=O)C)C)O	ZINC00625693
CCc1ccc(cc1)OC[C@@H](Cn1c2c(nc1NCc1ccccc1)n(c(=O)n(c2=O)C)C)O	ZINC00625705
CCc1ccc(cc1)OC[C@H](Cn1c2c(nc1NCc1ccccc1)n(c(=O)n(c2=O)C)C)O	ZINC00625709
CCc1ccc(cc1)OC[C@@H](Cn1c2c(nc1N1CCCCCC1)n(c(=O)n(c2=O)C)C)O	ZINC00625711
CCc1ccc(cc1)OC[C@H](Cn1c2c(nc1N1CCCCCC1)n(c(=O)n(c2=O)C)C)O	ZINC00625713
Cc1ccccc1OC[C@@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1NC1CCCCC1)C)O	ZINC00625748
Cc1ccccc1OC[C@H](Cn1c2c(=O)[nH]c(=O)n(c2nc1NC1CCCCC1)C)O	ZINC00625751
Cc1ccccc1OC[C@@H](Cn1c2c(nc1NCc1ccccc1)n(c(=O)n(c2=O)C)C)O	ZINC00625757
Cc1ccccc1OC[C@H](Cn1c2c(nc1NCc1ccccc1)n(c(=O)n(c2=O)C)C)O	ZINC00625761
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N1CCOCC1)CC[NH+]1CCCCC1	ZINC00625768
Cc1ccccc1OC[C@@H](Cn1c2c(nc1N1CCOCC1)n(c(=O)n(c2=O)C)C)O	ZINC00625778
